name,macro_f1,test_accuracy,aug_noise_std,aug_time_shift_max,aug_gain_min,aug_gain_max,aug_time_mask_max,aug_freq_mask_max,run_dir
aug_b,0.3662155388471178,0.7536231875419617,0.003,0.03,0.8,1.2,8,8,D:\IISc\sem2\EdgeAI\Project\proj-v2\cry_reason_pipeline\artifacts\sweeps\aug_b
aug_a,0.31404612159329137,0.6521739363670349,0.002,0.02,0.85,1.15,6,6,D:\IISc\sem2\EdgeAI\Project\proj-v2\cry_reason_pipeline\artifacts\sweeps\aug_a
aug_c,0.25327102803738316,0.6231883764266968,0.0015,0.015,0.9,1.1,5,5,D:\IISc\sem2\EdgeAI\Project\proj-v2\cry_reason_pipeline\artifacts\sweeps\aug_c
aug_d,0.23700934579439253,0.6376811861991882,0.004,0.04,0.75,1.25,10,10,D:\IISc\sem2\EdgeAI\Project\proj-v2\cry_reason_pipeline\artifacts\sweeps\aug_d
